               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,             0.05767,            0.093313,           0.0097716,             0.95831,                   1,               0.995,             0.70487,            0.043432,            0.098798,           0.0073713,           0.0079804,           0.0079804,           0.0079804
                 104,            0.053533,            0.089641,            0.009524,             0.89984,             0.97335,              0.9552,             0.32247,            0.063177,              0.1055,           0.0072261,           0.0079606,           0.0079606,           0.0079606
                 105,            0.057812,            0.096972,           0.0094249,             0.85552,             0.98722,               0.995,             0.68866,            0.049069,            0.099843,           0.0075021,           0.0079408,           0.0079408,           0.0079408
                 106,            0.056517,            0.098188,           0.0098944,             0.76442,             0.99975,               0.985,              0.5891,            0.051873,             0.10361,           0.0073299,            0.007921,            0.007921,            0.007921
                 107,            0.053791,            0.089764,           0.0092705,             0.58422,                   1,             0.98268,             0.50737,            0.058137,              0.1066,           0.0069263,           0.0079012,           0.0079012,           0.0079012
                 108,            0.057189,            0.097003,           0.0091038,               0.846,                   1,               0.995,             0.54453,             0.04593,             0.10021,           0.0069763,           0.0078814,           0.0078814,           0.0078814
                 109,            0.052501,            0.095475,           0.0094215,             0.93167,             0.96855,               0.995,             0.65129,            0.049143,            0.098369,           0.0065465,           0.0078616,           0.0078616,           0.0078616
                 110,            0.054441,            0.097279,           0.0089266,             0.95391,                   1,               0.995,             0.74205,            0.044038,             0.10174,           0.0065359,           0.0078418,           0.0078418,           0.0078418
                 111,            0.051538,            0.088315,           0.0087886,             0.81178,                 0.9,             0.96167,             0.60754,            0.054367,             0.10335,           0.0061805,            0.007822,            0.007822,            0.007822
                 112,            0.052263,            0.090979,           0.0088088,              0.9589,                   1,               0.995,             0.69925,            0.044268,             0.10223,           0.0063399,           0.0078022,           0.0078022,           0.0078022
                 113,            0.052625,            0.097412,           0.0089616,             0.95616,             0.99666,               0.995,             0.62548,            0.043692,            0.091718,           0.0062694,           0.0077824,           0.0077824,           0.0077824
                 114,             0.05001,            0.089401,           0.0091915,             0.95845,             0.99946,               0.995,             0.69206,            0.043208,             0.10256,           0.0064172,           0.0077626,           0.0077626,           0.0077626
                 115,            0.051583,            0.091928,            0.008725,             0.81779,                   1,               0.995,             0.58647,            0.050633,            0.097216,           0.0063202,           0.0077428,           0.0077428,           0.0077428
                 116,            0.053066,            0.091366,           0.0088352,             0.88214,                   1,               0.995,              0.6766,            0.050374,             0.11463,           0.0063229,            0.007723,            0.007723,            0.007723
                 117,            0.052202,            0.090542,           0.0088717,             0.90293,                   1,               0.995,             0.67284,            0.046982,            0.097619,           0.0061542,           0.0077032,           0.0077032,           0.0077032
